,cause,sex,type,res_mortality
0,0,0,test,7.329511167381858e-05
1,0,0,train,3.5552976937819644e-05
2,0,1,test,1.899258520632547e-05
3,0,1,train,1.4736904862143151e-05
4,1,0,test,3.064079121759668e-06
5,1,0,train,1.2520304780442599e-06
6,1,1,test,8.193258407592981e-07
7,1,1,train,2.4023163818040233e-07
8,2,0,test,2.2287224895818116e-05
9,2,0,train,2.5003987153034046e-06
10,2,1,test,3.0102558553164025e-05
11,2,1,train,5.645666250882297e-07
12,3,0,test,1.9514204139524035e-07
13,3,0,train,4.883097489237021e-07
14,3,1,test,8.885542743894207e-08
15,3,1,train,1.933312625144064e-07
16,4,0,test,1.7113275212099655e-06
17,4,0,train,5.003524027177718e-07
18,4,1,test,8.232034704372566e-07
19,4,1,train,3.5413357830219813e-07
20,5,0,test,0.00016300052277405276
21,5,0,train,2.466376729944684e-06
22,5,1,test,0.00011044442179044743
23,5,1,train,5.901223401040069e-07
