,cause,sex,type,res_mortality
0,0,0,test,5.889014603299099e-05
1,0,0,train,2.8498144936722736e-05
2,0,1,test,1.529197461101068e-05
3,0,1,train,1.1892622664971191e-05
4,1,0,test,2.4754266835965847e-06
5,1,0,train,9.931686914570862e-07
6,1,1,test,6.692312368952581e-07
7,1,1,train,1.9243544456118152e-07
8,2,0,test,1.7857421105559716e-05
9,2,0,train,2.034997726878763e-06
10,2,1,test,2.388389875655423e-05
11,2,1,train,4.6202929709311365e-07
12,3,0,test,1.5388145586124233e-07
13,3,0,train,3.874634509517277e-07
14,3,1,test,7.122271133773312e-08
15,3,1,train,1.5346071896565743e-07
16,4,0,test,1.415270099833945e-06
17,4,0,train,3.8998789366306347e-07
18,4,1,test,6.896463846529979e-07
19,4,1,train,2.670543368076156e-07
20,5,0,test,0.00012937761037559514
21,5,0,train,2.080807602773757e-06
22,5,1,test,8.767270729911786e-05
23,5,1,train,5.285034711542616e-07
