,cause,sex,type,res_mortality
0,0,0,test,3.0613325858951896e-05
1,0,0,train,9.203960167828892e-06
2,0,1,test,5.0641413280551415e-05
3,0,1,train,4.063102927277077e-06
4,1,0,test,1.975690054757191e-05
5,1,0,train,9.385008150797299e-07
6,1,1,test,2.530439343636637e-06
7,1,1,train,1.6069066340518535e-07
8,2,0,test,4.069249035769384e-05
9,2,0,train,1.9186238725290495e-06
10,2,1,test,1.1309229334329255e-05
11,2,1,train,5.380580849307842e-07
12,3,0,test,4.82614077390493e-07
13,3,0,train,2.51801057799102e-07
14,3,1,test,3.703566519531554e-07
15,3,1,train,9.247333107852306e-08
16,4,0,test,5.3152873526694e-07
17,4,0,train,3.347909428576283e-07
18,4,1,test,6.308241626985737e-07
19,4,1,train,1.8334769646568311e-07
20,5,0,test,0.0001748410157650125
21,5,0,train,4.615134609561354e-06
22,5,1,test,7.383632242636409e-06
23,5,1,train,3.226542366401348e-07
