,cause,sex,type,res_mortality
0,0,0,test,1.0576547191572359e-05
1,0,0,train,5.446587136528091e-07
2,0,1,test,5.404172457499688e-06
3,0,1,train,5.244174395523782e-07
4,1,0,test,1.3318494816990501e-05
5,1,0,train,1.9240666806669304e-07
6,1,1,test,1.2966523169956701e-06
7,1,1,train,4.264010187831354e-08
8,2,0,test,3.0435346341894633e-06
9,2,0,train,1.2560447820445417e-07
10,2,1,test,1.4192046081851104e-07
11,2,1,train,9.846196681038212e-08
12,3,0,test,2.7722306733067582e-08
13,3,0,train,1.585556680368118e-08
14,3,1,test,1.1144468699819499e-08
15,3,1,train,9.367349348811926e-09
16,4,0,test,6.21449100737511e-08
17,4,0,train,1.529029327052491e-08
18,4,1,test,2.279331871664059e-08
19,4,1,train,1.1439853783221688e-08
20,5,0,test,4.310842322063047e-06
21,5,0,train,2.2064400075393963e-07
22,5,1,test,5.496632361925445e-06
23,5,1,train,3.566303561747062e-07
