,cause,sex,type,res_mortality
0,0,0,test,3.350805996734993e-06
1,0,0,train,1.9718460005592409e-07
2,0,1,test,1.7735638357117176e-06
3,0,1,train,8.854954218397143e-08
4,1,0,test,1.554909761082551e-06
5,1,0,train,2.980715363788177e-08
6,1,1,test,1.222198582624787e-07
7,1,1,train,9.493596107190965e-09
8,2,0,test,2.629401995341457e-07
9,2,0,train,1.9092414896500455e-08
10,2,1,test,3.3584227180627764e-07
11,2,1,train,7.471256020441691e-09
12,3,0,test,6.766927086971304e-08
13,3,0,train,6.84163614183361e-09
14,3,1,test,5.310632157785685e-08
15,3,1,train,3.3259944618229816e-09
16,4,0,test,5.263431286928949e-08
17,4,0,train,6.718814812657566e-09
18,4,1,test,9.129947433252364e-09
19,4,1,train,1.8571820762476922e-09
20,5,0,test,3.622062720561546e-06
21,5,0,train,1.5028878426273531e-07
22,5,1,test,6.336988334552109e-06
23,5,1,train,8.620553396936694e-09
