,cause,sex,type,res_mortality
0,0,0,test,2.95609159630282e-05
1,0,0,train,7.078833996355655e-06
2,0,1,test,5.8901698906994904e-05
3,0,1,train,4.626779835915778e-06
4,1,0,test,4.1635825487565805e-05
5,1,0,train,6.0351587300918e-07
6,1,1,test,1.918128097019267e-06
7,1,1,train,1.6788962922817046e-07
8,2,0,test,1.983974219255418e-05
9,2,0,train,2.2281967566991908e-06
10,2,1,test,1.616296186605549e-06
11,2,1,train,1.070521888897819e-06
12,3,0,test,4.139237459396398e-07
13,3,0,train,1.8735744050976577e-07
14,3,1,test,2.541583804593768e-07
15,3,1,train,7.245500902380185e-08
16,4,0,test,5.53513236804941e-07
17,4,0,train,2.508020354736171e-07
18,4,1,test,6.611851580769824e-07
19,4,1,train,1.34749331140661e-07
20,5,0,test,0.00012394717477080507
21,5,0,train,3.015257921694039e-06
22,5,1,test,3.035725725195084e-05
23,5,1,train,1.817412226987396e-06
