,cause,sex,type,res_mortality
0,0,0,test,7.693062410005306e-06
1,0,0,train,3.7510691881815295e-07
2,0,1,test,2.3043097199701817e-06
3,0,1,train,1.407875435579719e-07
4,1,0,test,6.9974773800412454e-06
5,1,0,train,8.180737608315918e-08
6,1,1,test,1.2753625546541553e-06
7,1,1,train,2.603716982259902e-08
8,2,0,test,3.2259552328924927e-06
9,2,0,train,8.603137590474549e-08
10,2,1,test,8.741079004631665e-07
11,2,1,train,9.553170555913996e-09
12,3,0,test,2.830658943554724e-08
13,3,0,train,1.3758880839345479e-08
14,3,1,test,1.2288913946443676e-08
15,3,1,train,9.340018751616155e-09
16,4,0,test,6.357523222610279e-08
17,4,0,train,1.8359299267554684e-08
18,4,1,test,2.1442656916111345e-08
19,4,1,train,1.0534375950325749e-08
20,5,0,test,3.1046706496274454e-06
21,5,0,train,1.8762410737749554e-07
22,5,1,test,2.4787258797526714e-07
23,5,1,train,2.922589361999899e-08
