,cause,sex,type,res_mortality
0,0,0,test,1.7872948779215946e-05
1,0,0,train,6.651242933850114e-06
2,0,1,test,7.234541520171509e-06
3,0,1,train,2.649413492767308e-06
4,1,0,test,1.9596875937613614e-05
5,1,0,train,7.446560672332133e-07
6,1,1,test,2.8217313304982785e-06
7,1,1,train,1.651173789243466e-07
8,2,0,test,2.632611393190203e-05
9,2,0,train,1.0639713226522787e-06
10,2,1,test,2.4560849112712815e-05
11,2,1,train,5.76968604201851e-07
12,3,0,test,7.177647863366845e-07
13,3,0,train,2.465967140103274e-07
14,3,1,test,9.958299819818894e-07
15,3,1,train,9.076706907702429e-08
16,4,0,test,3.123176542578822e-07
17,4,0,train,2.692885352387157e-07
18,4,1,test,9.655091515411598e-08
19,4,1,train,1.172686323439122e-07
20,5,0,test,0.00015575279334836343
21,5,0,train,2.919988328006241e-06
22,5,1,test,0.0003542990097277305
23,5,1,train,2.680554249158886e-07
