,cause,sex,type,res_mortality
0,0,0,test,8.26297128948046e-06
1,0,0,train,5.63682374064023e-07
2,0,1,test,3.8366375418194616e-06
3,0,1,train,4.3842391879319797e-07
4,1,0,test,1.1087375910595753e-05
5,1,0,train,1.5124452393727535e-07
6,1,1,test,8.709763406363549e-07
7,1,1,train,3.482883801016247e-08
8,2,0,test,2.3931662966599847e-06
9,2,0,train,8.092048526459767e-08
10,2,1,test,1.0838325335344421e-07
11,2,1,train,7.869036381902495e-08
12,3,0,test,1.849584781024242e-08
13,3,0,train,8.750134271713216e-09
14,3,1,test,7.475819554430591e-09
15,3,1,train,5.263405844937504e-09
16,4,0,test,6.062320105807208e-08
17,4,0,train,1.3650437576187734e-08
18,4,1,test,2.3042356419416093e-08
19,4,1,train,1.025927444217522e-08
20,5,0,test,2.2934017925475522e-06
21,5,0,train,2.621050205152202e-07
22,5,1,test,1.8904829857227473e-06
23,5,1,train,1.6000699377136854e-07
