,cause,sex,type,res_mortality
0,0,0,test,2.2248906809322014e-06
1,0,0,train,3.744680849202119e-07
2,0,1,test,1.5372417664735051e-06
3,0,1,train,1.8646104883724252e-07
4,1,0,test,1.381498600372617e-06
5,1,0,train,4.463508656157763e-08
6,1,1,test,1.0955342882022124e-07
7,1,1,train,1.3430234621726839e-08
8,2,0,test,1.7592461106589035e-07
9,2,0,train,2.7671580098591832e-08
10,2,1,test,3.993385493395975e-07
11,2,1,train,7.700904245444608e-09
12,3,0,test,1.046768844132833e-08
13,3,0,train,1.8961459755394717e-08
14,3,1,test,1.2384118477158842e-08
15,3,1,train,9.517290179841347e-09
16,4,0,test,9.416698240462212e-08
17,4,0,train,2.0004615888231484e-08
18,4,1,test,1.8215294544130037e-08
19,4,1,train,3.345276538204849e-09
20,5,0,test,4.780418719287337e-06
21,5,0,train,1.4009532263621154e-07
22,5,1,test,2.25690427555406e-06
23,5,1,train,3.5899578429274076e-08
