,cause,sex,type,res_mortality
0,0,0,test,1.330418002779296e-05
1,0,0,train,5.318344271841034e-06
2,0,1,test,5.609144015294265e-06
3,0,1,train,2.1172695219649237e-06
4,1,0,test,1.4300018239472184e-05
5,1,0,train,5.070578450698624e-07
6,1,1,test,1.7934994979302616e-06
7,1,1,train,1.1200119110384373e-07
8,2,0,test,1.66168081314e-05
9,2,0,train,9.859850293727449e-07
10,2,1,test,0.00012920300967794688
11,2,1,train,2.0721659475913203e-07
12,3,0,test,1.05546104934056e-06
13,3,0,train,1.8796116827415502e-07
14,3,1,test,1.0488230494580185e-06
15,3,1,train,7.053063771926547e-08
16,4,0,test,2.2949669174359212e-07
17,4,0,train,2.129318571462386e-07
18,4,1,test,6.737097759488137e-08
19,4,1,train,8.991797783707852e-08
20,5,0,test,0.00014226253871122557
21,5,0,train,2.6935206476721123e-06
22,5,1,test,0.00041609292299487244
23,5,1,train,2.077552657867365e-07
