,cause,sex,type,res_mortality
0,0,0,test,1.3608266937558794e-05
1,0,0,train,9.571595465304122e-07
2,0,1,test,5.936621580472049e-06
3,0,1,train,2.937231604082285e-07
4,1,0,test,1.0076837724016485e-05
5,1,0,train,1.451875623114013e-07
6,1,1,test,1.4630996800068077e-06
7,1,1,train,3.195625086118837e-08
8,2,0,test,8.600961865069834e-06
9,2,0,train,1.5219662476101253e-07
10,2,1,test,1.8163338976717466e-06
11,2,1,train,2.122962048112804e-08
12,3,0,test,6.077678807450789e-08
13,3,0,train,2.060012880688087e-08
14,3,1,test,4.184365928420185e-08
15,3,1,train,1.4041496457345486e-08
16,4,0,test,7.236062905096366e-08
17,4,0,train,3.9735660839995463e-08
18,4,1,test,5.068512455677134e-08
19,4,1,train,2.2561381533489936e-08
20,5,0,test,1.116999655582243e-05
21,5,0,train,5.369797506563629e-07
22,5,1,test,7.312476228838137e-07
23,5,1,train,3.225393633468545e-08
