,cause,sex,type,res_mortality
0,0,0,test,1.7388429380835663e-05
1,0,0,train,8.034756171409703e-07
2,0,1,test,1.1933314158095469e-05
3,0,1,train,8.997682338660519e-07
4,1,0,test,1.908926618064043e-05
5,1,0,train,2.1524934324406235e-07
6,1,1,test,1.4765791985662334e-06
7,1,1,train,5.138746303792048e-08
8,2,0,test,7.078076605125337e-06
9,2,0,train,2.783280223694472e-07
10,2,1,test,3.0020477877665575e-07
11,2,1,train,1.861923194264631e-07
12,3,0,test,5.91394086696636e-08
13,3,0,train,2.3163647209771354e-08
14,3,1,test,3.80748766493401e-08
15,3,1,train,1.4153728399316519e-08
16,4,0,test,7.862488924882642e-08
17,4,0,train,3.1218222320016294e-08
18,4,1,test,5.6585331864331395e-08
19,4,1,train,2.352822066298952e-08
20,5,0,test,1.659709417525234e-05
21,5,0,train,6.807932689970055e-07
22,5,1,test,1.590194320558276e-05
23,5,1,train,1.0257523267149558e-06
