,cause,sex,type,res_mortality
0,0,0,test,5.911170044677924e-06
1,0,0,train,2.8707970666028907e-07
2,0,1,test,1.7727962699545186e-06
3,0,1,train,1.0858894134157317e-07
4,1,0,test,5.78988599806097e-06
5,1,0,train,6.274461342448741e-08
6,1,1,test,9.86356256680718e-07
7,1,1,train,2.1749898893153746e-08
8,2,0,test,2.721322022743763e-06
9,2,0,train,6.167739471170191e-08
10,2,1,test,6.607771579646072e-07
11,2,1,train,2.5157187672624534e-08
12,3,0,test,2.1233727012366028e-08
13,3,0,train,9.817396014243398e-09
14,3,1,test,9.054753071663442e-09
15,3,1,train,6.643336910279695e-09
16,4,0,test,5.749360730318854e-08
17,4,0,train,1.4915487765002506e-08
18,4,1,test,2.026272556155878e-08
19,4,1,train,7.952824586251708e-09
20,5,0,test,1.234326870291759e-06
21,5,0,train,1.2826839590895137e-07
22,5,1,test,2.855345310942957e-07
23,5,1,train,4.526741479583555e-08
